Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BUAH.JK,BUAH.JK,BUAH.JK,BUAH.JK,BUAH.JK,BUAH.JK
Date,,,,,,
2022-08-09,470.0673522949219,484.0,484.0,388.0,402.0,50060300
2022-08-10,462.2976379394531,476.0,580.0,452.0,500.0,95748200
2022-08-11,435.1036682128906,448.0,476.0,444.0,476.0,27406300
2022-08-12,444.8157653808594,458.0,480.0,444.0,444.0,20691300
2022-08-15,452.5854797363281,466.0,472.0,440.0,460.0,17726300
2022-08-16,448.7006530761719,462.0,474.0,458.0,468.0,13969600
2022-08-18,509.8870849609375,525.0,540.0,454.0,464.0,23057700
2022-08-19,519.5991821289062,535.0,555.0,492.0,530.0,22807100
2022-08-22,514.7431640625,530.0,580.0,505.0,540.0,15509900
2022-08-23,539.0234985351562,555.0,605.0,530.0,535.0,28680400
2022-08-24,543.8795776367188,560.0,580.0,535.0,580.0,7483700
2022-08-25,539.0234985351562,555.0,575.0,550.0,565.0,3679400
2022-08-26,539.0234985351562,555.0,575.0,520.0,555.0,9732900
2022-08-29,539.0234985351562,555.0,570.0,530.0,550.0,2715400
2022-08-30,539.0234985351562,555.0,570.0,550.0,560.0,3595500
2022-08-31,509.8870849609375,525.0,560.0,525.0,550.0,3928900
2022-09-01,495.3188781738281,510.0,535.0,505.0,520.0,1872200
2022-09-02,485.60675048828125,500.0,515.0,484.0,510.0,2533100
2022-09-05,505.0310363769531,520.0,530.0,500.0,500.0,1248800
2022-09-06,505.0310363769531,520.0,530.0,500.0,515.0,1569900
2022-09-07,505.0310363769531,520.0,525.0,500.0,525.0,794100
2022-09-08,607.0084228515625,625.0,645.0,515.0,520.0,13716500
2022-09-09,757.5465698242188,780.0,780.0,625.0,630.0,10005100
2022-09-12,776.9708251953125,800.0,940.0,730.0,840.0,8482200
2022-09-13,835.2435913085938,860.0,890.0,800.0,805.0,2666200
2022-09-14,854.6679077148438,880.0,935.0,820.0,850.0,3087600
2022-09-15,883.8043212890625,910.0,920.0,880.0,880.0,1688000
2022-09-16,908.0845947265625,935.0,1030.0,850.0,915.0,9653800
2022-09-19,883.8043212890625,910.0,940.0,890.0,935.0,1233100
2022-09-20,917.7967529296875,945.0,980.0,900.0,900.0,1342700
2022-09-21,908.0845947265625,935.0,965.0,935.0,945.0,1082000
2022-09-22,874.0921630859375,900.0,935.0,900.0,935.0,1056300
2022-09-23,869.236083984375,895.0,920.0,890.0,900.0,269200
2022-09-26,883.8043212890625,910.0,940.0,890.0,890.0,330200
2022-09-27,854.6679077148438,880.0,915.0,865.0,900.0,877100
2022-09-28,878.9481811523438,905.0,910.0,880.0,880.0,571000
2022-09-29,878.9481811523438,905.0,935.0,900.0,910.0,1430900
2022-09-30,864.3800048828125,890.0,910.0,875.0,910.0,497500
2022-10-03,854.6679077148438,880.0,900.0,870.0,890.0,641000
2022-10-04,869.236083984375,895.0,915.0,865.0,880.0,782600
2022-10-05,874.0921630859375,900.0,905.0,885.0,895.0,383300
2022-10-06,859.52392578125,885.0,910.0,880.0,900.0,994500
2022-10-07,844.9557495117188,870.0,885.0,865.0,880.0,1143700
2022-10-10,835.2435913085938,860.0,895.0,855.0,870.0,927700
2022-10-11,859.52392578125,885.0,890.0,855.0,855.0,595100
2022-10-12,810.9632568359375,835.0,900.0,835.0,885.0,1724400
2022-10-13,810.9632568359375,835.0,855.0,835.0,840.0,261600
2022-10-14,796.39501953125,820.0,840.0,820.0,835.0,283500
2022-10-17,747.8344116210938,770.0,820.0,765.0,820.0,705900
2022-10-18,747.8344116210938,770.0,770.0,750.0,770.0,525200
2022-10-19,728.4100952148438,750.0,760.0,750.0,750.0,526100
2022-10-20,733.2661743164062,755.0,765.0,740.0,750.0,166100
2022-10-21,718.697998046875,740.0,755.0,735.0,755.0,629400
2022-10-24,738.1222534179688,760.0,790.0,755.0,755.0,959500
2022-10-25,733.2661743164062,755.0,785.0,730.0,760.0,802700
2022-10-26,723.5540771484375,745.0,750.0,735.0,745.0,483400
2022-10-27,723.5540771484375,745.0,760.0,740.0,745.0,777200
2022-10-28,689.5615844726562,710.0,755.0,705.0,755.0,1262100
