Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CEKA.JK,CEKA.JK,CEKA.JK,CEKA.JK,CEKA.JK,CEKA.JK
Date,,,,,,
2001-05-03,64.49748229980469,112.5,120.0,112.5,120.0,0
2001-05-04,67.36404418945312,117.5,117.5,117.5,117.5,20000
2001-05-07,67.36404418945312,117.5,117.5,117.5,117.5,0
2001-05-08,67.36404418945312,117.5,117.5,117.5,117.5,87000
2001-05-09,67.36404418945312,117.5,122.5,117.5,117.5,526000
2001-05-10,65.93077087402344,115.0,122.5,115.0,122.5,107000
2001-05-11,67.36404418945312,117.5,122.5,117.5,117.5,355000
2001-05-14,71.66387939453125,125.0,127.5,117.5,117.5,940000
2001-05-15,75.96370697021484,132.5,132.5,127.5,127.5,347000
2001-05-16,78.83026123046875,137.5,142.5,132.5,132.5,883000
2001-05-17,74.5304183959961,130.0,145.0,130.0,140.0,604000
2001-05-18,74.5304183959961,130.0,137.5,130.0,135.0,741000
2001-05-21,71.66387939453125,125.0,125.0,122.5,122.5,60000
2001-05-22,71.66387939453125,125.0,125.0,122.5,122.5,179000
2001-05-23,74.5304183959961,130.0,132.5,125.0,125.0,168000
2001-05-24,74.5304183959961,130.0,130.0,130.0,130.0,0
2001-05-25,74.5304183959961,130.0,130.0,130.0,130.0,107000
2001-05-28,74.5304183959961,130.0,130.0,130.0,130.0,0
2001-05-29,75.96370697021484,132.5,140.0,132.5,132.5,603000
2001-05-30,75.96370697021484,132.5,137.5,130.0,137.5,115000
2001-05-31,75.96370697021484,132.5,132.5,132.5,132.5,25000
2001-06-01,73.09715270996094,127.5,127.5,127.5,127.5,20000
2001-06-04,73.09715270996094,127.5,127.5,127.5,127.5,0
2001-06-05,70.23059844970703,122.5,125.0,120.0,122.5,188000
2001-06-06,73.09715270996094,127.5,127.5,127.5,127.5,61000
2001-06-07,70.23059844970703,122.5,125.0,122.5,125.0,205000
2001-06-08,68.79731750488281,120.0,120.0,120.0,120.0,12000
2001-06-11,75.96370697021484,132.5,132.5,125.0,127.5,158000
2001-06-12,75.96370697021484,132.5,132.5,132.5,132.5,0
2001-06-13,75.96370697021484,132.5,132.5,125.0,130.0,115000
2001-06-14,75.96370697021484,132.5,132.5,132.5,132.5,0
2001-06-15,75.96370697021484,132.5,135.0,132.5,132.5,68000
2001-06-18,75.96370697021484,132.5,132.5,132.5,132.5,0
2001-06-19,74.5304183959961,130.0,130.0,130.0,130.0,52000
2001-06-20,77.39698791503906,135.0,135.0,132.5,135.0,87000
2001-06-21,75.96370697021484,132.5,135.0,130.0,132.5,630000
2001-06-22,75.96370697021484,132.5,137.5,132.5,135.0,566000
2001-06-25,77.39698791503906,135.0,137.5,135.0,135.0,126000
2001-06-26,78.83026123046875,137.5,137.5,135.0,137.5,47000
2001-06-27,77.39698791503906,135.0,137.5,135.0,135.0,302000
2001-06-28,74.5304183959961,130.0,132.5,130.0,132.5,102000
2001-06-29,77.39698791503906,135.0,135.0,135.0,135.0,100000
2001-07-02,77.39698791503906,135.0,135.0,135.0,135.0,0
2001-07-03,83.13009643554688,145.0,147.5,132.5,132.5,5455000
